borough,major_category,num_crime,year,month
Barking and Dagenham,Burglary,134,2008,1
Barking and Dagenham,Criminal Damage,286,2008,1
Barking and Dagenham,Drugs,92,2008,1
Barking and Dagenham,Fraud or Forgery,90,2008,1
Barking and Dagenham,Other Notifiable Offences,14,2008,1
Barking and Dagenham,Robbery,50,2008,1
Barking and Dagenham,Sexual Offences,17,2008,1
Barking and Dagenham,Theft and Handling,492,2008,1
Barking and Dagenham,Violence Against the Person,440,2008,1
Barking and Dagenham,Burglary,135,2008,2
Barking and Dagenham,Criminal Damage,274,2008,2
Barking and Dagenham,Drugs,118,2008,2
Barking and Dagenham,Fraud or Forgery,115,2008,2
Barking and Dagenham,Other Notifiable Offences,20,2008,2
Barking and Dagenham,Robbery,50,2008,2
Barking and Dagenham,Sexual Offences,32,2008,2
Barking and Dagenham,Theft and Handling,477,2008,2
Barking and Dagenham,Violence Against the Person,359,2008,2
Barking and Dagenham,Burglary,140,2008,3
Barking and Dagenham,Criminal Damage,235,2008,3
Barking and Dagenham,Drugs,102,2008,3
Barking and Dagenham,Fraud or Forgery,0,2008,3
Barking and Dagenham,Other Notifiable Offences,27,2008,3
Barking and Dagenham,Robbery,56,2008,3
Barking and Dagenham,Sexual Offences,0,2008,3
Barking and Dagenham,Theft and Handling,462,2008,3
Barking and Dagenham,Violence Against the Person,395,2008,3
Barking and Dagenham,Burglary,124,2008,4
Barking and Dagenham,Criminal Damage,287,2008,4
Barking and Dagenham,Drugs,132,2008,4
Barking and Dagenham,Fraud or Forgery,0,2008,4
Barking and Dagenham,Other Notifiable Offences,23,2008,4
Barking and Dagenham,Robbery,58,2008,4
Barking and Dagenham,Sexual Offences,0,2008,4
Barking and Dagenham,Theft and Handling,500,2008,4
Barking and Dagenham,Violence Against the Person,398,2008,4
Barking and Dagenham,Burglary,126,2008,5
Barking and Dagenham,Criminal Damage,253,2008,5
Barking and Dagenham,Drugs,99,2008,5
Barking and Dagenham,Fraud or Forgery,0,2008,5
Barking and Dagenham,Other Notifiable Offences,19,2008,5
Barking and Dagenham,Robbery,58,2008,5
